"organization_name","department_name","faculties"
"Universitätsmedizin Greifswald","Klinik für Hautkrankheiten Universitätsklinikum Jena Jena Germany","med"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research","mint"
"Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung","Alfred-Wegener-Institute","mint"
"Universität Bremen","Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research","mint"
"Universitat Autònoma de Barcelona","Department of Economic History and Institutions (HISTECO)","sowi"
"Universitat de Barcelona","Department of Economic History and Institutions (HISTECO)","sowi"
"Universität Hamburg","Department of Economic History and Institutions (HISTECO)","sowi"
"Universität Hamburg","Centre for Globalisation and Governance","sowi"
"Universität Hamburg","Center for Earth Systems Research and Sustainability (CEN) &World Forestry","mint"
"Universität Hamburg","Center for Earth Systems Research and Sustainability (CEN) & World Forestry","mint"
"Austrian Institute of Economic Research","Austrian Institute for Economic Research","sowi"
"Universität Hamburg","Fakultät für Geisteswissenschaften","phil"
"Universität Hamburg","Numata Center for Buddhist Studies","rewi"
"Universität Hamburg","Kunstgeschichtliches Seminar","phil"
"CAU Kiel","English Department University of Kiel Olshausenstrasse 40 24098 Kiel Germany","phil"
"GEOMAR","Institute of Earth Sciences","mint"
"National Taiwan Ocean University","Institute of Earth Sciences","mint"
"Guizhou University","College of Civil Engineering","tech"
"Technische Universität Clausthal","Institut für Mathematik","mint"
"Flensburg University of Applied Sciences","Flensburg University of Applied Science","mint"
"Universität Greifswald","Zoological Collection and Imaging Centre","mint"
"Universität Hamburg","Heilongjiang Meteorological Office","mint"
"Universität Rostock","Institute for ImplantTechnology and Biomaterials–IIB e.V.","mint"
"Universität Greifswald","Institute of Microbiology","mint"
"Europa-Universität Flensburg","Sustainable Energy Systems and Management (SESAM)","tech"
"Asklepios","Internal Medicine, Gastroenterology, Oncology and Infectious Diseases","med"
"Longhua Hospital Shanghai University of Traditional Chinese Medicine","Gynecology Department","med"
"Shanghai University of Traditional Chinese Medicine","Gynecology Department","med"
"Universität Hamburg","Gynecology Department","med"
"Universitätsklinikum Hamburg-Eppendorf","Gynecology Department","med"
"Yueyang Hospital","Gynecology Department","med"
"Leibniz Institute of Virology (LIV)","From the Heinrich-Pette-Institut für Experimentelle Virologie und Immunologie an der Universität Hamburg","med"
"CAU Kiel","Department of Pediatrics","med"
"Carl von Ossietzky Universität Oldenburg","Instit für Ev. Theolgie und Religionspädagogik","rewi"
"Universität Bremen","Informatik Universität Bremen","tech"
"Bernhard Nocht Institute for Tropical Medicine","Clinical Research Group","med"
"Bernhard Nocht Institute for Tropical Medicine","Department of Clinical Research","med"
"Universität Hamburg","Bernhard-Nocht-Klinik für Tropenmedizin","med"
"Universität Hamburg","Clinical Research Group","med"
"Universität Hamburg","Department of Clinical Research","med"
"Universitätsklinikum Hamburg-Eppendorf","Bernhard-Nocht-Klinik für Tropenmedizin","med"
"Universitätsklinikum Hamburg-Eppendorf","Clinical Research Group","med"
"Universitätsklinikum Hamburg-Eppendorf","Department of Clinical Research","med"
"CAU Kiel","College of Ecology and Environment","mint"
"Inner Mongolia Agricultural University","College of Ecology and Environment","mint"
"Universität Hamburg","Department of Informatik","tech"
"GEOMAR","Directorate","mint"
"Tribhuvan University","Research Center for Applied Science and Technology","tech"
"Universitätsmedizin Greifswald","Department of Pharmaceutical Biology","mint"
"Chengdu University of Technology","College of Earth Science","mint"
"Technische Universität Clausthal","College of Earth Science","mint"
"GFZ Helmholtz Centre for Geosciences","German Research Centre for Geosciences","mint"
"Universität Bremen","German Research Centre for Geosciences","mint"
"CAU Kiel","Zoologisches Institut der Christian-Albrechts-Universität Kiel","mint"
"Carl von Ossietzky Universität Oldenburg","Marine Geochemistry (MPI-ICBM Group)","mint"
"Harbin Institute of Technology","Marine Geochemistry (MPI-ICBM Group)","mint"
"Southern University of Science and Technology","Marine Geochemistry (MPI-ICBM Group)","mint"
"Universität Hamburg","Department of Wood Biology and Technology","mint"
"Universität Greifswald","Earth Observation and Geoinformation Science Lab University of Greifswald | Institute of Geography and Geology","mint"
"University of Bremen","Institute for Religious Studies","rewi"
"GIGA German Institute of Global and Area Studies","Project of the Alexander von Humboldt Foundation “War Economies and Postwar Crime”","phil"
"GIGA German Institute of Global and Area Studies","Research project: “A Dangerous Liaison? Ethnicity, Natural Resources and Civil Conflict Onset” (DFG) [research on the interaction of resource extraction, ethnic identities, and (violent) conflict dynamics]","sowi"
"GIGA German Institute of Global and Area Studies","Research project: “Is Resource Wealth a Risk Factor?” (DFG)","sowi"
"Kiel University","Center for Ocean and Society","mint"
"Kiel University","Department of Political Science","sowi"
"Municipal Administration Kiel","Partnerschaft für Demokratie in Kiel","sowi"
"Kiel University","Archaeological Stable Isotope Laboratory (ASIL)","mint"
"Kiel University","Institute for Ecosystem Research","mint"
"University of Bremen","MARUM-Center for Marine Environmental Sciences","mint"
"University Medical Center Hamburg-Eppendorf","Division of Infectious Diseases, First Medical Department","med"
"Christian-Albrechts-Universität zu Kiel","Institute of Agricultural Economics","agrar"
"Universität Bremen","Biology and Chemistry","mint"
"Leibniz Centre for Tropical Marine Research","Social Science","sowi"
"University of Bremen","Faculty of Social Science, Institute for Geography","sowi"
"University of Hamburg","Law","jura"
"Alfred Wegener Institute","Geosciences/Geophysics Division","mint"
"Universität Bremen","Faculty of Geosciences","mint"
"University Medical Center Hamburg-Eppendorf","Occupational Medicine and Maritime Medicine","med"
"Universität Hamburg","Asien-Afrika-Institut","phil"
"University Clinic of Schleswig-Holstein (UKSH)","Department of Neurology","med"
"Helmut-Schmidt-Universität / Universität der Bundeswehr Hamburg","Fakultät für Geistes- und Sozialwissenschaften - Geschichte der Frühen Neuzeit unter besonderer Berücksichtigung der Sozial- und Wirtschaftsgeschichte","phil"
"University of Bremen","Institute of Geography","sowi"
"University of Bremen","Institute of Environmental Physics (IUP)","mint"
"Leuphana University Lüneburg","Institute of English Studies","phil"
"GEOMAR Helmholtz Centre for Ocean Research Kiel","Marine Geosciences","mint"
"University of Hamburg","Technical and Macromolecular Chemistry","mint"
"Helmholtz Institute for Functional Marine Biodiversity","Marine Conservation","mint"
"University of Hamburg","Chemistry","mint"
"University of Hamburg","Faculty of Law","jura"
"GEOMAR Helmholtz Centre for Ocean Research Kiel","Marine Geologie","mint"
"Medizinische Hochschule Brandenburg Theodor Fontane","Brandenburg Medical School (Theodor Fontane)","med"
"University Medical Center Hamburg-Eppendorf","1. Department of Medicine, Group of Prof. Dr. Stefan Lüth","med"
"University Medical Center Hamburg-Eppendorf","Department of Anatomy and Experimental Morphology","med"
"Universitätsklinikum Hamburg-Eppendorf","Institute of Biochemistry and Molecular Biology I: Cellular Signal Transduction","med"
"Universität Hamburg","Asien-Afrika Institut","phil"
"Rostock University","Soil Physics, Faculty for Agricultural and Environmental Sciences","agrar"
"Kiel University","Geology","mint"
"Leibniz Institute for Prevention Research and Epidemiology - BIPS","Epi Methods and Etiological Research","med"
"University of Bremen","Earth Sciences","mint"
"University of Hamburg","Center for Earth System Research and Sustainability","mint"
"Christian-Albrechts-Universität zu Kiel","Biology","mint"
"GEOMAR Helmholtz Centre for Ocean Research Kiel","Dynamic of ocean floor","mint"
"Kiel University","Zoological Institute","mint"
"Universität Bremen","Faculty of Liguistics and Literary Studies","phil"
"Universität Hamburg","Centre for the Study of Manuscript Cultures, CSMC","phil"
"Universität Hamburg","Numata Centre for Buddhist Studies","rewi"
"Carl von Ossietzky Universität Oldenburg","Institut fur Mathematik","mint"
"Universität Oldenburg","Fakultät V, Insitut für Mathematik","mint"
"Universität Bremen","IUP-LAMOS & MARUM","mint"
"University of Greifswald","Zoological Institute and Museum","mint"
"Universitätsmedizin Greifswald","Internal medicine A","med"
"University Medical Center Hamburg-Eppendorf","III Depatment/Nephrology","med"
"University of Lübeck","Institute of Neurogenetics","med"
"University of Bremen","MARUM - Geosciences","mint"
"Kiel University","Animal hygiene & health, Food Microbiology","agrar"
"Lübeck University","Klinik für Anaesthesiologie","med"
"Universität Rostock","Mathematics and Natural Sciences, Institute of Physics","mint"
"Universitätsklinikum Hamburg-Eppendorf","Center for Molecular Neurobiology Hamburg (ZMNH)","med"
"Hamburg University","Faculty of Education","phil"
"Universität Hamburg","Institut für Interkulturelle und Internationale Vergleichende Erziehungswissenschaft","phil"
"GEOMAR Helmholtz Centre for Ocean Research Kiel","Chemical Oceanography","mint"
"Leuphana University of Lüneburg","Center for Digital Cultures (CDC) - Institute for Sociology and Cultural Organisation","sowi"
"University of Hamburg","Faculty of Education","phil"
"Universität Bremen","Marine Ecology","mint"
"University of Lübeck","Department of Neurology","med"
"Christian-Albrechts-Universität zu Kiel","Institut für Skandinavistik, Frisistik und Allgemeine Sprachwissenschaft","phil"
"Universitätsklinikum Hamburg-Eppendorf","Research Dept. Cell & Gene Therapy, Dept. of SCT","med"
"Hamburg University of Applied Sciences","Psychology/Social Work","sowi"
"Christian Albrechts Universität zu Kiel","Institute for Pre- and Protohistory","phil"
"Christian-Albrechts-Universität zu Kiel","Institute for Pre-and Protohistoric Archaeology","phil"
"University of Hamburg","Research Unit for Sustainability and Climate Risks","mint"
"University of Hamburg","Art History","phil"
"GEOMAR Helmholtz Centre for Ocean Research Kiel","Marine Biogeochemistry","mint"
"Thermo Fisher Scientific (Bremen) GmbH","Inorganic Mass Spectrometry","mint"
"University of Rostock","Faculty of Agriculture and Environmental Sciences","agrar"
"Christian-Albrechts-Universität zu Kiel","Walther Schücking Institute for International Law","jura"
"Kiel University","Institute for Geosciences","mint"
"Christian Albrechts Universitat zu Kiel","Faculty of Law, Institute of East European Law","jura"
"Kiel University","Teaching and Teacher Education","phil"
"University of Oldenburg","EU - Research Office","sowi"
"Universität Hamburg","Institute of Geology","mint"
"University of Greifswald","Economics","sowi"
"Universität zu Lübeck","Institut for Cardiogenetics","med"
"University of Lübeck","Medical Department I","med"
"University of Lübeck","Neurobiology","med"
"University of Rostock","Physiology of Plant Metabolism","mint"
"Jacobs University Bremen gGmbH","Focus Area Health","med"
